bundesland,jahr,monat,real,real-veraenderung,nominal,nominal-veraenderung
Baden-Württemberg,2020,Januar,88.4,4.2,97.4,7.3
Baden-Württemberg,2020,Februar,88.5,1.3,97.7,3.9
Baden-Württemberg,2020,März,54.9,-45.5,60.6,-44
Baden-Württemberg,2020,April,25.1,-75.5,27.8,-75
Baden-Württemberg,2020,Mai,36.6,-67.1,40.8,-66.5
Baden-Württemberg,2020,Juni,64.5,-39,71.9,-38
Baden-Württemberg,2020,Juli,86.3,-24.7,100.2,-20
Baden-Württemberg,2020,August,89.3,-17.7,103.6,-12.6
Baden-Württemberg,2020,September,91.1,-16.9,105.7,-12.5
Baden-Württemberg,2020,Oktober,79.1,-27.8,91.8,-24
Baden-Württemberg,2020,November,32,-67.9,37,-66.3
Baden-Württemberg,2020,Dezember,28.7,-73,33.1,-71.7
Baden-Württemberg,2021,Januar,29.9,-66.2,34,-65.1
Baden-Württemberg,2021,Februar,31.7,-64.2,36.1,-63.1
Baden-Württemberg,2021,März,37.6,-31.5,42.9,-29.2
Baden-Württemberg,2021,April,35.8,42.6,40.9,47.1
Baden-Württemberg,2021,Mai,48.2,31.7,55.3,35.5
Baden-Württemberg,2021,Juni,66.7,3.4,77.7,8.1
Baden-Württemberg,2021,Juli,85.6,-0.8,100.1,-0.1
Baden-Württemberg,2021,August,85.2,-4.6,100,-3.5
Baden-Württemberg,2021,September,87.9,-3.5,103,-2.6
Baden-Württemberg,2021,Oktober,88.4,11.8,103.7,13
Baden-Württemberg,2021,November,72.1,125.3,84.6,128.6
Baden-Württemberg,2021,Dezember,60.8,111.8,71.6,116.3
Baden-Württemberg,2022,Januar,60.7,103,72,111.8
Baden-Württemberg,2022,Februar,68.3,115.5,81.3,125.2
Baden-Württemberg,2022,März,76.2,102.7,91.2,112.6
Baden-Württemberg,2022,April,85.3,138.3,103.3,152.6
Baden-Württemberg,2022,Mai,99.8,107.1,122.3,121.2
Baden-Württemberg,2022,Juni,95.3,42.9,118.2,52.1
Baden-Württemberg,2022,Juli,103.2,20.6,129.9,29.8
Baden-Württemberg,2022,August,95,11.5,120.3,20.3
Baden-Württemberg,2022,September,96.3,9.6,123.1,19.5
Baden-Württemberg,2022,Oktober,...,...,...,...
Baden-Württemberg,2022,November,...,...,...,...
Baden-Württemberg,2022,Dezember,...,...,...,...
