typ,jahr,monat,real,real-bereinigt,nominal,nominal-bereinigt
Beherbergung,2020,Januar,79.9,104.4,86.4,114.2
Beherbergung,2020,Februar,85.1,105.6,91.9,115.3
Beherbergung,2020,März,49.4,53.2,53.3,58.2
Beherbergung,2020,April,13.6,14.3,14.7,15.6
Beherbergung,2020,Mai,23.7,22,26,24
Beherbergung,2020,Juni,56.8,51.8,61.7,55.7
Beherbergung,2020,Juli,82.3,74.6,92.7,83.4
Beherbergung,2020,August,92.6,84.2,104,94
Beherbergung,2020,September,91.1,76.3,102.3,84.5
Beherbergung,2020,Oktober,74.2,65.1,83,72.2
Beherbergung,2020,November,19.7,21.3,21.9,23.7
Beherbergung,2020,Dezember,17.4,19.3,19.3,21.5
Beherbergung,2021,Januar,16,20.7,17.3,22.7
Beherbergung,2021,Februar,15.3,19.5,16.4,21.2
Beherbergung,2021,März,20.2,21.7,21.7,23.7
Beherbergung,2021,April,19.2,20,20.6,21.6
Beherbergung,2021,Mai,28.6,26.9,31.1,29.1
Beherbergung,2021,Juni,64.2,58.5,71.3,64.3
Beherbergung,2021,Juli,89.3,80.5,100.3,89.6
Beherbergung,2021,August,103,94.1,116.6,105.7
Beherbergung,2021,September,105.6,88.5,119,98.4
Beherbergung,2021,Oktober,103,90.4,116.1,101.1
Beherbergung,2021,November,79.8,85.7,89.9,96.5
Beherbergung,2021,Dezember,54.5,59.7,61,67.3
Beherbergung,2022,Januar,48.1,62.5,53.7,70.7
Beherbergung,2022,Februar,52.5,66.7,59.1,76.2
Beherbergung,2022,März,69.3,75,78.5,86.4
Beherbergung,2022,April,88,91.1,102.1,106.5
Beherbergung,2022,Mai,111,104.2,131.7,122.7
Beherbergung,2022,Juni,116.7,107.4,140.3,127.7
Beherbergung,2022,Juli,115.7,104.9,141.7,127.2
Beherbergung,2022,August,115.9,106.3,142.2,129.1
Beherbergung,2022,September,126.6,104.8,160.3,131
Beherbergung,2022,Oktober,122,106.9,152.3,132.4
Beherbergung,2022,November,...,...,...,...
Beherbergung,2022,Dezember,...,...,...,...
"Hotels, Gasthöfe und Pensionen",2020,Januar,80.7,105.1,87.4,114.9
"Hotels, Gasthöfe und Pensionen",2020,Februar,86.6,107.3,93.5,116.9
"Hotels, Gasthöfe und Pensionen",2020,März,49.3,51,53.1,55.6
"Hotels, Gasthöfe und Pensionen",2020,April,11.7,12.4,12.6,13.5
"Hotels, Gasthöfe und Pensionen",2020,Mai,21.6,20,23.5,21.7
"Hotels, Gasthöfe und Pensionen",2020,Juni,53.6,49.4,57.9,53
"Hotels, Gasthöfe und Pensionen",2020,Juli,77.9,73,87,81.3
"Hotels, Gasthöfe und Pensionen",2020,August,88,82.9,98,92.2
"Hotels, Gasthöfe und Pensionen",2020,September,89.3,74.6,100.1,82.3
"Hotels, Gasthöfe und Pensionen",2020,Oktober,72.8,63.3,81.2,69.9
"Hotels, Gasthöfe und Pensionen",2020,November,18.9,19.9,21,22
"Hotels, Gasthöfe und Pensionen",2020,Dezember,16.6,17.8,18.4,19.8
"Hotels, Gasthöfe und Pensionen",2021,Januar,12.6,16.3,13.5,17.7
"Hotels, Gasthöfe und Pensionen",2021,Februar,13.8,17.7,14.9,19.3
"Hotels, Gasthöfe und Pensionen",2021,März,18.7,19.2,20,20.9
"Hotels, Gasthöfe und Pensionen",2021,April,17.6,18.5,18.8,19.9
"Hotels, Gasthöfe und Pensionen",2021,Mai,26.2,24.8,28.2,26.6
"Hotels, Gasthöfe und Pensionen",2021,Juni,61.3,56.2,67.3,61.3
"Hotels, Gasthöfe und Pensionen",2021,Juli,83,77.3,91.7,85.1
"Hotels, Gasthöfe und Pensionen",2021,August,96.3,91.5,107.6,101.8
"Hotels, Gasthöfe und Pensionen",2021,September,105.1,87.6,118.2,97
"Hotels, Gasthöfe und Pensionen",2021,Oktober,102.6,89.7,115.5,99.9
"Hotels, Gasthöfe und Pensionen",2021,November,83,86.7,93.6,97.3
